College/Organization,Location,Latitude,Longitude
"Amritsar College of Engineering & Technology (ACET), Punjab",Punjab,30.9293211,75.5004841
"Amritsar College of Engineering & Technology (ACET), Punjab",Punjab,30.9293211,75.5004841
"Panjab University Swami Sarvanand Giri (PU SSG), Hoshiarpur, Punjab",Punjab,30.9293211,75.5004841
"Thapar Institute of Engineering and Technology (TIET), Patiala, Punjab",Punjab,30.9293211,75.5004841
"Thapar Institute of Engineering and Technology (TIET), Patiala, Punjab",Punjab,30.9293211,75.5004841
"Thapar Institute of Engineering and Technology (TIET), Patiala, Punjab",Punjab,30.9293211,75.5004841
"Thapar Institute of Engineering and Technology (TIET), Patiala, Punjab",Punjab,30.9293211,75.5004841
"Amal Jyothi College of Engineering (AJCE), Kerala",Kerala,10.3528744,76.5120396
"IIT Palakkad, Kerala",Kerala,10.3528744,76.5120396
"Ambedkar University, Delhi",Delhi,28.6517178,77.2219388
"Bharati Vidyapeeth University College of Engineering (BVCOE), Delhi",Delhi,28.6517178,77.2219388
"Daulat Ram College (DRC), Delhi University (DU), Delhi",Delhi,28.6517178,77.2219388
"Dyal Singh College (DSC), Delhi University, Delhi",Delhi,28.6517178,77.2219388
"Gitarattan International Business School (GIBS), Delhi",Delhi,28.6517178,77.2219388
"IIT Delhi, Delhi",Delhi,28.6517178,77.2219388
"IMM-Fostiima Business School (IFBS) ,Delhi",Delhi,28.6517178,77.2219388
"Indian Institute of Technology (IIT), Delhi",Delhi,28.6517178,77.2219388
"Indraprastha college for women University of Delhi, Delhi",Delhi,28.6517178,77.2219388
"Jesus and Mary College (JMC), University of Delhi (DU), Delhi",Delhi,28.6517178,77.2219388
"MAMC,Delhi",Delhi,28.6517178,77.2219388
"Mata Sundri College (MSC), Delhi University, Delhi",Delhi,28.6517178,77.2219388
"Motilal Nehru College (MNC), University of Delhi (DU), Delhi",Delhi,28.6517178,77.2219388
"Netaji Subhas University of Technology (NSUT), Delhi",Delhi,28.6517178,77.2219388
"Ramjas College (RC), University of Delhi (DU), Delhi",Delhi,28.6517178,77.2219388
"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",Delhi,28.6517178,77.2219388
"Shaheed Sukhdev College of Business Studies (SSCBS), University of Delhi (DU), Delhi",Delhi,28.6517178,77.2219388
"Sri Ram College of Commerce (MBA-GBO), Delhi",Delhi,28.6517178,77.2219388
"Sri. Aurobindo college evening , Delhi university, Delhi",Delhi,28.6517178,77.2219388
"University School of Management and Entrepreneurship (USME), Delhi Technological University (DTU), Delhi",Delhi,28.6517178,77.2219388
"Amity University (AU), Jaipur",Jaipur,26.916194,75.820349
"Birla Institute of Technology (BIT), Mesra, Jaipur ",Jaipur,26.916194,75.820349
"BIT Mesra, Jaipur",Jaipur,26.916194,75.820349
"The ICFAI University, Jaipur",Jaipur,26.916194,75.820349
"Amrita School Of Engineering (ASE), Bangalore",Bangalore,12.9791198,77.5912997
"BMS College of Engineering (BMSCE), Bangalore",Bangalore,12.9791198,77.5912997
"Christ University (CU), Bangalore",Bangalore,12.9791198,77.5912997
"ICFAI Business School (IBS), Bangalore",Bangalore,12.9791198,77.5912997
"Indian Institute of Management (IIM), Bangalore",Bangalore,12.9791198,77.5912997
"Nitte Minakshi Institute of Technology (NMIT), Bangalore",Bangalore,12.9791198,77.5912997
"PES Institute of Technology (PESIT), PES University, Bangalore",Bangalore,12.9791198,77.5912997
"Andhra University College Of Engineering (AUCOE), Visakhapatnam",Visakhapatnam,17.7231276,83.3012842
"IIM Visakhapatnam, Visakhapatnam",Visakhapatnam,17.7231276,83.3012842
"Indian Institute of Management (IIM), Visakhapatnam",Visakhapatnam,17.7231276,83.3012842
"Anjuman-I-Islam's Kalsekar Technical Campus (AIKTC), Navi Mumbai",Navi Mumbai,19.0308262,73.0198537
"Bharati Vidyapeeth’s Institute of Management Studies & Research (BVIMSR), Navi Mumbai",Navi Mumbai,19.0308262,73.0198537
"Datta Meghe College of Engineering (DMCE), Navi Mumbai",Navi Mumbai,19.0308262,73.0198537
"Anna University (AU), Chennai",Chennai,13.0801721,80.2838331
"IIT Madras, Chennai",Chennai,13.0801721,80.2838331
"Loyola Institute of Business Administration (LIBA), Chennai",Chennai,13.0801721,80.2838331
"Vellore Institute of Technology (VIT), Chennai Campus, Chennai",Chennai,13.0801721,80.2838331
"Annasaheb Dange College of Engineering and Technology (ADCET), Ashta, Maharashtra",Maharashtra,19.531932,76.0554568
"IMT Nagpur, Maharashtra",Maharashtra,19.531932,76.0554568
"K. J. Somaiya College of Engineering (KJSCE), Mumbai, Maharashtra",Maharashtra,19.531932,76.0554568
"MIT Academy of Engineering (MITAOE), Pune, Maharashtra",Maharashtra,19.531932,76.0554568
"St. John College of Engineering and Management (SJCEM), Palghar, Maharashtra",Maharashtra,19.531932,76.0554568
"Sydenham College of Commerce and Economics (SCCE), Mumbai, Maharashtra",Maharashtra,19.531932,76.0554568
"Theem College of Engineering (TCOE), Boisar, Maharashtra",Maharashtra,19.531932,76.0554568
"Anugrah Narayan College (ANC), Patna, Bihar",Bihar,25.6440845,85.906508
"Dr. Rajendra Prasad Central Agricultural University (DRPCAU), Pusa, Bihar",Bihar,25.6440845,85.906508
"Anurag Group Of Institutions (AGI), Hyderabad",Hyderabad,17.38878595,78.46106473453146
